GeneMark.hmm PROKARYOTIC (Version 3.4.4)
Date: Sun Jan 24 19:41:29 2016
Sequence file name: /storage2/gena/GMS2/new/benchmark/Halobacterium_salinarum_R1_uid61571/GMS2_auto/../NC_010364.fna
Model file name: itr_9.rbs.notfirst.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: gi|169235049|ref|NC_010364.1| Halobacterium salinarum R1, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class     RBS      RBS
  419        +      392399      395104         2706        1      -66 606.5018
  420        -      395120      395863          744        1       98 135.5393
  421        +      396165      397091          927        1      119 179.4287
  422        +      397128      398552         1425        1       59 273.8244
  423        +      398554      399768         1215        1      -49 240.0898
  424        +      399868      400374          507        1      -19  95.6446
  425        +      400436      400870          435        1       41  60.5308
  426        +      401382      401687          306        1      -45  52.9791
  427        +      401692      402405          714        1       17 125.5193
  428        +      402597      403280          684        1     -103 120.2364
  429        -      403304      403993          690        1       37 105.2027
  430        -      403990      404667          678        1      -60 140.8022
  431        -      404816      407530         2715        1      -11 475.8672
  432        -      407523      408014          492        1      -41  67.6308
  433        -      408076      409032          957        1      -46 190.8347
  434        -      409180      410376         1197        1       22 216.8564
  435        +      410500      411765         1266        1      120 229.3880
  436        -      411753      412457          705        1       54  88.6906
  437        -      412520      413119          600        1      -54  92.5840
  438        -      413182      413934          753        1       -7 150.9251
  439        -      413939      414121          183        1      -75  14.9739
  440        -      414121      414924          804        1      -40 179.6654
  441        -      414921      415094          174        1     -127  11.8487
  442        -      415099      415380          282        1      -95  11.3152
  443        +      415530      416873         1344        1       27 184.7198
  444        +      416899      417165          267        1      118  62.3361
  445        -      417066      419522         2457        1      -50 317.0628
  446        +      419701      421257         1557        1      105 285.9038
  447        -      421561      422241          681        1      108 136.7093
  448        -      422310      422876          567        1      -22 119.2282
  449        -      422935      424719         1785        1       27 337.1466
  450        -      424716      426335         1620        1      103 307.4586
  451        -      426332      427813         1482        1       51 271.7435
  452        -      427806      428162          357        1     -112  63.7904
  453        -      428159      428626          468        1       94  88.8752
  454        -      428623      429153          531        1      108 113.3242
  455        -      429150      429476          327        1      -81  47.2156
  456        -      429473      429748          276        1      -65  60.9139
  457        -      429745      430839         1095        1        2 147.5030
  458        -      431009      432187         1179        1       73 188.5664
  459        +      432294      432785          492        1      -99  98.4362
  460        -      432795      433343          549        1      -59  67.0294
  461        +      433486      433743          258        1       65  45.0243
  462        +      433794      435095         1302        1      117 254.9314
  463        +      435234      435959          726        1       22 135.9164
  464        +      436004      436444          441        1       24  58.1178
  465        -      436539      436799          261        1       83  24.3858
  466        -      436792      437079          288        1      100  22.7856
  467        -      437173      437937          765        1      -68 131.1676
  468        -      437942      438754          813        1      -16 122.1909
  469        -      438757      439545          789        1        8  98.6593
  470        -      439590      439976          387        1      -76  56.2968
  471        -      439976      440665          690        1      105  58.2423
  472        -      440741      441652          912        1       59 171.9849
  473        +      441748      442236          489        1     -114  79.0235
  474        -      442233      442877          645        1        4  97.6380
  475        -      442977      443660          684        1       24 104.7288
  476        +      443768      444745          978        1      114 176.3834
  477        +      445411      445737          327        1      -41  51.3574
  478        -      445748      446362          615        1      -94 122.5319
  479        +      446549      447307          759        1       78 126.1918
  480        +      447358      447759          402        1      112  80.1943
  481        -      447756      448865         1110        1      108 181.4198
  482        -      448867      449949         1083        1      -86 175.3250
  483        +      450022      450303          282        1      -40  36.2319
  484        +      450351      450593          243        1       35  40.3292
  485        -      450609      451070          462        1       10  97.7898
  486        +      451577      451714          138        1      -20   3.7065
  487        +      451723      452004          282        1      123  45.3477
  488        +      452032      453012          981        1      -82 188.5876
  489        -      453022      453435          414        1       65  66.2997
  490        -      453468      454115          648        1      -17  67.8668
  491        -      454230      455072          843        1      -85 113.7348
  492        +      455798      456778          981        1      104  41.7365
  493        +      457131      457526          396        1     -105  15.1453
  494        -      457664      457858          195        1     -116  11.1793
  495        +      458245      458496          252        1      -12  14.6712
  496        -      458665      461034         2370        1      -12 428.1553
  497        -      461187      462824         1638        1      -14 275.5062
  498        -      462945      463871          927        1        5 140.0448
  499        -      463873      464775          903        1     -106  92.8770
  500        -      464959      465987         1029        1       78 166.5685
  501        +      466078      467847         1770        1     -112 331.7336
  502        -      467866      468297          432        1       84  82.8261
  503        -      468302      468775          474        1       55  99.7086
  504        +      468849      469685          837        1      103 155.2657
  505        +      469755      471008         1254        1      -17 265.0739
  506        -      471132      472274         1143        1      -37 228.0899
  507        -      472271      472672          402        1      104  77.7845
  508        +      472769      474514         1746        1      -70 280.0146
  509        +      474584      475735         1152        1      -50 228.3403
  510        +      475732      476343          612        1       69 106.5576
  511        +      476469      476879          411        1       41  34.8571
  512        +      476944      477579          636        1        4  86.7543
  513        +      477576      479264         1689        1      125 323.1244
  514        +      479265      480320         1056        1       20 198.8022
  515        +      480317      480778          462        1       49  57.2127
  516        +      480836      481096          261        1       55  32.5149
  517        +      481093      481401          309        1       57  45.2904
  518        +      481401      481703          303        1      110  43.4082
  519        +      481705      483783         2079        1      -96 329.5504
  520        +      483787      485343         1557        1      -67 291.5926
  521        +      485340      486827         1488        1      -47 306.2717
  522        +      486895      488328         1434        1      -28 261.7244
  523        +      488360      489178          819        1      -99 159.1371
  524        +      489277      489426          150        1       51  15.1839
  525        +      489556      491259         1704        1       74 331.8566
  526        -      491264      492007          744        1      -13 117.2850
  527        -      492062      492343          282        1       64  30.5157
  528        -      492547      494328         1782        1       -2 289.7784
  529        -      494454      494681          228        1       99  34.7469
  530        -      494723      495085          363        1      -12  58.8357
  531        +      495228      496085          858        1      110 126.2874
  532        +      496135      496983          849        1       -5 129.2101
  533        -      496984      497751          768        1       98 111.5890
  534        +      497858      499237         1380        1      -73 246.1671
  535        +      499238      499894          657        1       28  88.1957
  536        +      499935      500831          897        1      -47 160.1538
  537        +      500828      501577          750        1       80 129.5709
  538        -      501583      502062          480        1       61  47.2707
  539        -      502080      502688          609        1      -87 105.9311
  540        +      502810      503226          417        1       14  77.6085
  541        +      503228      504202          975        1      -78 198.3513
  542        +      504260      505192          933        1      -68 145.7696
  543        -      505169      505552          384        1      -33  72.2104
  544        -      505549      506736         1188        1      127 209.4837
  545        -      506778      507065          288        1      -62  71.4093
  546        -      507111      508253         1143        1      109 234.5807
  547        +      508388      509431         1044        1      -40 191.4010
  548        -      509458      510318          861        1      122 191.9627
  549        +      510404      511090          687        1      -70 109.1313
  550        +      511189      511980          792        1      -56 149.7942
  551        +      511980      512843          864        1      -31 169.5983
  552        +      512869      513558          690        1       88  94.6483
  553        +      513961      514731          771        1      -96 139.2633
  554        +      514790      515653          864        1      -37 168.1102
  555        +      515650      517389         1740        1       54 324.3429
  556        +      517382      518431         1050        1       -5 174.0573
  557        +      518484      518900          417        1       72  62.6093
  558        -      519110      519775          666        1      106 108.2880
  559        +      520045      522618         2574        1       96 503.1897
  560        +      522680      522886          207        1      -78  25.1051
  561        +      523025      523309          285        1        2  38.8433
  562        -      523313      523684          372        1      -86  43.8927
  563        -      523770      525281         1512        1      -16 281.4259
  564        +      525416      526054          639        1       89 108.4859
  565        +      526127      526663          537        1       38  62.9469
  566        +      526824      527783          960        1      -32 177.8559
  567        +      527859      528440          582        1      -27 114.5854
  568        +      528487      529182          696        1       89 133.0086
  569        +      529260      530690         1431        1       90 285.3090
  570        -      530687      532315         1629        1      100 312.6740
  571        +      532409      532735          327        1      -86  60.9359
  572        -      532748      533425          678        1      -66 138.8118
  573        +      533522      534319          798        1        6 163.2310
  574        -      534324      535751         1428        1      -48 222.2235
  575        -      535839      536948         1110        1     -125 201.9741
  576        +      537035      537295          261        1      -62  30.3783
  577        +      537345      538253          909        1      -17 170.2992
  578        -      538263      538853          591        1      -12 125.4191
  579        +      539267      540751         1485        1      122 276.0109
  580        +      540916      541533          618        1      -25 134.6372
  581        -      541530      542441          912        1       -9 120.7071
  582        +      542527      542997          471        1       54  66.2874
  583        -      542998      544017         1020        1       26 177.9830
  584        +      544100      544648          549        1       86  90.1125
  585        -      544684      545661          978        1     -117 155.5967
  586        +      545979      546566          588        1      -77 111.5456
  587        +      546570      548483         1914        1       -2 393.1797
  588        -      548489      548932          444        1       74  59.7320
  589        +      549024      549248          225        1     -111  36.0632
  590        -      549260      549892          633        1       19  81.1991
  591        +      549979      550281          303        1       77  39.1422
