GeneMark.hmm PROKARYOTIC (Version 3.4.4)
Date: Fri Feb 12 06:45:23 2016
Sequence file name: ../NC_000913.fna
Model file name: itr_9.rbs.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: gi|556503834|ref|NC_000913.3| Escherichia coli str. K-12 substr. MG1655, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class     RBS      RBS
  147        -      173602      174882         1281        1       50 219.5551
  148        +      175107      176528         1422        1      -11 208.9050
  149        +      176610      176954          345        1      -36  51.7522
  150        -      177001      177624          624        1      -26  82.4317
  151        -      177662      178462          801        1       41  81.0312
  152        -      178455      179129          675        1      -50  89.8177
  153        +      179237      180754         1518        1       29 159.2130
  154        +      180884      182308         1425        1     -115 241.1024
  155        +      182463      183620         1158        1      -79 177.5497
  156        -      183709      184095          387        1       44  40.5990
  157        -      184257      185069          813        1       -7  71.6516
  158        -      185123      185947          825        1      105 136.9153
  159        -      185978      188650         2673        1       -6 369.3908
  160        -      188712      189506          795        1       82 108.8169
  161        +      189874      190599          726        1      -92  94.6714
  162        +      190857      191708          852        1      124 135.8215
  163        +      191855      192580          726        1      102 119.9189
  164        +      192872      193429          558        1       90  88.3234
  165        +      193521      194717         1197        1      -25 161.3512
  166        +      194906      195664          759        1       80  58.6170
  167        +      195677      196534          858        1       80  76.8225
  168        +      196546      197898         1353        1      -77 132.6395
  169        +      197928      200360         2433        1       34 329.9026
  170        +      200482      200967          486        1       20  70.9814
  171        +      200971      201996         1026        1       -8 142.1511
  172        +      202101      202556          456        1      107  45.2569
  173        +      202560      203348          789        1       50 110.3639
  174        +      203348      204496         1149        1       73 164.0233
  175        +      204493      205089          597        1      -64  90.4369
  176        +      205126      208608         3483        1       53 543.7961
  177        +      208621      209580          960        1      -35 191.1680
  178        +      209679      211820         2142        1        4 282.5173
  179        +      211877      212266          390        1     -104  50.2251
  180        +      212331      213629         1299        1       93 198.3193
  181        -      213678      213938          261        1      -57  26.5219
  182        -      213925      214125          201        1      120  14.6059
  183        +      214291      214836          546        1        4  97.6074
  184        +      214833      215255          423        1       34  27.9960
  185        +      215272      215979          708        1      -42  86.7656
  186        -      216179      217003          825        1      -73  60.5600
  187        -      217057      218775         1719        1      -97 282.8309
  188        -      218887      219594          708        1      -38  97.9209
  189        -      219591      219995          405        1      104  25.1065
  190        -      220113      220928          816        1        7 127.2404
  191        -      220968      221621          654        1      -60 105.6915
  192        -      221614      222618         1005        1      -80 142.1551
  193        +      222833      223408          576        1       96  76.7731
  194        +      229167      229970          804        1       35 113.8116
  195        -      229967      230881          915        1      -20  71.2429
  196        +      231143      231922          780        1      -39  74.7548
  197        +      231926      232549          624        1      -17  47.9986
  198        -      232597      233955         1359        1       -7 130.3010
  199        -      234027      234782          756        1       42  39.6282
  200        +      234816      235538          723        1       48  51.4619
  201        -      235535      236002          468        1      -16  52.3230
  202        +      236058      236798          741        1        5  93.8482
  203        +      237335      238120          786        1       10  55.2005
  204        -      238257      238736          480        1      -99   1.4868
  205        -      238746      239039          294        1      -51  11.8920
  206        -      239419      240189          771        1       78  93.0177
  207        +      240370      240816          447        1      -32  50.1800
  208        -      240859      243300         2442        1      120 457.9475
  209        +      243543      244121          579        1       74  98.5236
  210        +      244327      245094          768        1       91  85.4783
  211        -      245065      245805          741        1       60  89.4260
  212        -      245961      246239          279        1      -15   4.8975
  213        -      246242      246502          261        1      -15  19.9566
  214        +      246652      247461          810        1      107  55.3227
  215        +      247637      248134          498        1       72  21.5462
  216        -      248358      250067         1710        1      -36 323.4269
  217        +      250042      250827          786        1      -91 123.6666
  218        +      250898      251953         1056        1        6 152.3504
  219        +      252005      252298          294        1       85  15.9403
  220        +      252301      252699          399        1     -128  22.2184
  221        +      252709      253161          453        1       25  20.6021
  222        +      253479      253733          255        1       24  11.5123
  223        +      253702      254202          501        1        0  35.6837
  224        -      254259      255716         1458        1      -14 250.8969
  225        +      255977      256435          459        1      -45  70.4386
  226        +      256527      257771         1245        1        1 162.8077
  227        -      257923      258426          504        1     -122  14.1814
  228        -      258345      258620          276        1       73  12.5937
  229        +      258662      259006          345        1       90  40.8474
  230        -      259045      260100         1056        1       20 124.8072
  231        +      260388      261491         1104        1       21 183.0041
  232        +      261503      262756         1254        1      112 219.1212
  233        -      263328      263669          342        1       -1   5.1055
  234        -      263690      264007          318        1       87  14.9678
  235        -      264026      264247          222        1       67   6.8067
  236        -      264256      264732          477        1       41  40.3594
  237        -      264748      265206          459        1        1  50.3048
  238        -      265304      265543          240        1       84  15.3852
  239        -      265620      266087          468        1      117  41.2779
  240        -      266110      266553          444        1       67  42.5971
  241        -      266553      266729          177        1      -14   9.2566
  242        +      266749      266922          174        1       -9   2.5101
  243        -      267184      268005          822        1      -12  81.0704
  244        -      268097      268960          864        1      -83  79.2543
  245        -      269289      270182          894        1      116  44.4305
  246        +      270278      270646          369        1      -69  20.8725
  247        +      270603      271754         1152        1       -3  14.2945
  248        +      271830      272255          426        1      -64  16.3258
  249        +      272847      273992         1146        1      -67  68.0217
  250        -      274101      275081          981        1     -101  95.6238
  251        +      275325      276728         1404        1      114 195.9906
  252        +      276715      277647          933        1      -38 163.0654
  253        -      277756      278802         1047        1       33 182.0486
  254        -      278814      279176          363        1     -103  56.5786
  255        -      279178      279681          504        1     -115  11.7661
  256        +      279627      279842          216        1       62  11.3689
  257        -      280024      280362          339        1       53   4.5995
  258        -      280385      280735          351        1      -91   7.5575
  259        -      280829      281947         1119        1      101 120.0151
  260        +      282278      283186          909        1     -102 145.9596
  261        +      283201      285168         1968        1       59 305.5106
  262        +      285395      286777         1383        1      -62 213.5745
  263        +      286789      288399         1611        1       54 187.5069
  264        -      288404      289162          759        1     -106  99.3066
  265        -      289301      290305         1005        1       15 147.6749
  266        -      290649      291152          504        1       92  11.7661
  267        +      291098      291313          216        1       13  11.3689
  268        +      291500      292231          732        1      -93  65.8185
  269        -      292322      292753          432        1      -99  19.1576
  270        -      293220      293840          621        1      -38  17.0928
  271        -      293945      294772          828        1      127  22.0568
  272        -      295139      295579          441        1      -90   8.0674
  273        -      295696      297096         1401        1     -111  62.4022
  274        -      297381      297791          411        1       76  13.4456
  275        -      297770      298726          957        1      -13 101.0628
  276        -      298736      300934         2199        1     -105 295.5162
  277        -      300931      301887          957        1       74 116.7883
  278        -      301884      302573          690        1       -7  59.4100
  279        +      302991      303605          615        1      121  25.1918
  280        -      304495      305205          711        1       62  39.3856
  281        -      305174      306817         1644        1     -118 150.2850
  282        -      306807      309332         2526        1       93 290.8910
  283        -      309358      310026          669        1       18  58.1495
  284        -      310084      310671          588        1     -105  85.0611
  285        -      310746      311288          543        1        3  10.1181
  286        -      312514      312777          264        1      -49   5.7918
  287        +      314357      315244          888        1      -23  87.6583
  288        +      315291      315590          300        1     -115  29.3619
  289        +      315587      316453          867        1      -73  44.8991
  290        -      316450      317169          720        1       -4  18.3496
  291        -      317726      318319          594        1      126  39.7254
  292        +      318302      318571          270        1       87   6.0126
  293        -      318676      320001         1326        1       10 101.7216
  294        +      320227      321081          855        1      -50  50.3202
  295        +      321608      322327          720        1       55  62.1941
  296        +      322338      323765         1428        1       20 160.8601
  297        +      323758      324453          696        1      -89  67.1583
  298        -      324696      325364          669        1       -4  27.1746
  299        -      325577      327247         1671        1       90 247.3174
  300        -      327261      328733         1473        1       37 254.7919
  301        -      328747      329352          606        1     -108  77.5857
  302        +      329511      331496         1986        1       24 324.2869
  303        +      332371      333459         1089        1       70  88.0580
  304        -      333501      334403          903        1       79 116.2776
  305        -      334525      335022          498        1      -68  38.9792
  306        +      335280      335885          606        1      -93  72.2377
  307        +      335925      336788          864        1       41  66.7326
  308        +      336778      338325         1548        1      119 300.8955
  309        +      338325      339743         1419        1     -125 272.2807
  310        +      339715      340089          375        1       -8  27.9877
  311        +      340177      341115          939        1      -57 160.5219
  312        +      341125      342507         1383        1      120 252.2238
  313        +      342884      343933         1050        1       92 120.1151
  314        +      344176      344991          816        1       99  32.7807
  315        -      345666      346337          672        1      -24  48.0416
  316        +      346484      346759          276        1       94  20.1536
  317        -      346857      348443         1587        1       45 245.0526
  318        +      348682      349572          891        1       -3 166.8591
  319        +      350012      351181         1170        1       46 193.1733
  320        +      351215      352666         1452        1      -29 234.5169
  321        +      352706      354592         1887        1      -84 322.4636
  322        +      354922      356181         1260        1       91 195.9570
  323        +      356156      357454         1299        1       38 208.7152
  324        -      357791      358657          867        1       17  89.8051
  325        +      358799      359458          660        1     -125  68.9320
  326        +      359489      359959          471        1       44  74.3860
  327        +      359992      361146         1155        1       42 182.3896
  328        -      361249      361854          606        1     -115  21.6277
  329        -      361926      363113         1188        1      119 143.1881
  330        -      363231      366305         3075        1      -22 460.3091
  331        -      366428      367510         1083        1      -93 156.6407
  332        -      367587      368432          846        1       60 104.8306
  333        +      368611      370275         1665        1      -42 299.2804
  334        +      370277      371221          945        1       86 148.6077
  335        +      371239      372105          867        1       33 148.4369
  336        +      372115      372924          810        1     -122 124.4921
  337        +      372921      373871          951        1      -86 161.0517
  338        +      373868      374881         1014        1       98 173.9128
  339        +      375459      376670         1212        1     -105 154.2498
  340        +      376772      377311          540        1      -69  81.9846
  341        -      377535      378368          834        1       10  78.4987
  342        -      378462      379571         1110        1      -65 168.7570
  343        -      379606      379881          276        1      -11  12.1749
  344        -      380069      380842          774        1      -74 100.7719
  345        -      380844      381287          444        1      116  10.0864
  346        +      381351      381716          366        1     -102  18.2609
  347        +      381674      382579          906        1      -28  41.4558
  348        -      382739      383911         1173        1      -68 101.7686
  349        -      384059      384616          558        1      122  37.9465
  350        -      385054      385278          225        1        6   3.3290
  351        +      385232      386194          963        1      -69 165.3003
  352        +      386207      386974          768        1     -111 130.0522
  353        +      386971      387798          828        1     -114 143.3150
  354        +      387795      388646          852        1      -55 126.8168
  355        -      388753      389727          975        1      112 136.2772
  356        +      390251      391711         1461        1       90 101.7356
  357        -      391739      392605          867        1      -87  44.8991
  358        -      392602      392901          300        1      -45  29.3619
  359        +      393021      394418         1398        1       41 185.1445
  360        +      394476      395129          654        1      -38  33.3891
  361        -      395130      396260         1131        1       -8 142.1676
  362        +      396639      397859         1221        1       74 176.5022
  363        +      397872      398966         1095        1       35 153.6913
  364        -      399025      399333          309        1       -5  22.7391
  365        +      399593      399805          213        1      -37  24.3565
  366        -      399829      400923         1095        1       41 158.5590
  367        +      401386      401646          261        1      -38  21.3170
  368        +      401747      403162         1416        1       75 201.6892
  369        +      403281      403601          321        1       66  21.6516
  370        +      403718      404818         1101        1        0 122.1321
  371        -      404835      405644          810        1     -108 137.6633
  372        +      405764      406222          459        1      -10  58.7743
  373        +      406462      406929          468        1      -81  52.7034
  374        +      406979      407170          192        1      -74   3.6585
  375        +      407428      408105          678        1      116  73.4968
  376        +      408177      408461          285        1       97  28.0493
  377        +      408708      408950          243        1      123   7.1430
  378        -      409108      410031          924        1      -67 161.2586
  379        +      410144      411052          909        1       18 126.6734
  380        -      411297      412565         1269        1      -88 128.4638
  381        -      412607      415753         3147        1       22 501.9442
  382        -      415750      416952         1203        1      -60 162.5108
  383        +      417142      417831          690        1      112  76.6882
  384        +      417889      419184         1296        1       79 171.5183
  385        +      419591      420910         1320        1       -2 224.9269
  386        +      420986      422359         1374        1      111 241.1793
  387        +      422515      424332         1818        1      105 267.2788
  388        -      424337      424918          582        1      -27  57.6312
  389        +      425011      426081         1071        1       38 170.4968
  390        +      426137      427264         1128        1     -109 149.3101
  391        +      427287      427619          333        1        9  41.2117
  392        +      427647      429494         1848        1      114 289.5911
  393        +      429505      430476          972        1      -77 149.6363
  394        +      430605      430952          348        1        3  32.9772
  395        -      431129      432013          885        1      -98 113.4229
  396        -      432312      432851          540        1      -31  42.4728
  397        +      433002      433451          450        1       96  46.1014
  398        +      433473      434558         1086        1       51 136.3428
  399        +      434647      435117          471        1      -53  74.1858
  400        +      435137      435556          420        1      -77  48.4952
  401        +      435634      436611          978        1      -92 135.2313
  402        +      436589      437107          519        1      101  68.7384
  403        -      437161      438135          975        1     -124 126.0935
  404        -      438315      440177         1863        1      125 318.1723
  405        -      440202      441101          900        1       22 111.0245
  406        -      441101      441343          243        1       11  19.9832
  407        +      441549      442997         1449        1      -66 242.1971
  408        -      443051      443641          591        1        8 101.0394
  409        -      443604      444515          912        1      112 119.1365
  410        +      444683      445174          492        1        0  84.7134
  411        -      445302      446666         1365        1      -43 218.1164
  412        -      446815      447750          936        1       26 127.6139
  413        -      447717      447992          276        1        3  22.9448
  414        -      448046      448660          615        1      -90  74.6314
  415        -      448650      450641         1992        1       87 300.4002
  416        -      450663      451574          912        1        6  82.6854
  417        -      452070      453545         1476        1      -78 165.0603
  418        -      453589      454269          681        1     -109  85.7824
  419        +      454472      454789          318        1       59  11.2245
  420        +      454798      454986          189        1     -123   3.4182
  421        +      455133      456431         1299        1      -48 243.4657
  422        +      456677      457300          624        1      -36  74.7395
  423        +      457426      458700         1275        1      -61 213.6513
  424        +      458888      461242         2355        1      123 397.6103
  425        +      461451      461723          273        1      124  32.4223
  426        +      461951      463786         1836        1      116 351.1117
  427        +      463937      464308          372        1       57  56.0953
  428        +      464402      464800          399        1        2  37.3843
  429        -      464852      465547          696        1     -102 115.4935
  430        -      465612      467327         1716        1     -120 188.6227
  431        +      467412      468230          819        1      -51  92.1540
  432        +      468383      468841          459        1     -105  61.3061
  433        +      468871      470643         1773        1      113 291.4657
  434        +      470636      472417         1782        1       87 328.9144
  435        +      472598      472936          339        1       12  51.3987
  436        +      472966      474252         1287        1      124 222.6318
  437        -      474301      475161          861        1       34  89.8475
  438        +      475379      475951          573        1      -27  71.4606
  439        -      475982      476293          312        1     -117  39.1225
  440        +      476672      477025          354        1      -14  34.0520
  441        -      477067      478623         1557        1      -89 177.3016
  442        -      478781      479251          471        1       25  45.8923
  443        -      479367      479897          531        1      -92  38.9548
  444        -      480090      480272          183        1       37   0.8698
  445        -      480334      480708          375        1      -46   8.2755
  446        -      481254      484403         3150        1       71 530.3587
  447        -      484426      485619         1194        1       -2 159.3665
  448        +      485761      486408          648        1      114  33.2199
  449        +      486608      489898         3291        1      -68 576.7136
  450        -      490110      490271          162        1       44  15.6493
  451        -      490285      490812          528        1       73  79.6508
  452        +      490882      491259          378        1      110  29.9943
  453        +      491412      491963          552        1      127  91.3176
  454        +      492092      494023         1932        1       48 322.9896
  455        +      494076      494405          330        1      -17  47.0893
  456        +      494405      495010          606        1       55  86.4537
  457        +      495120      496994         1875        1        1 330.7398
  458        +      497175      497819          645        1        6 109.3736
  459        +      498055      499017          963        1      124 159.6854
  460        -      499014      499973          960        1       20  93.8110
  461        +      500125      501429         1305        1     -110 182.5181
  462        -      501562      503238         1677        1      -45 318.7686
  463        -      503476      504696         1221        1     -120 147.4669
  464        +      504914      506566         1653        1       73 276.2223
  465        -      506603      507082          480        1      -35  58.1060
  466        -      507286      508080          795        1      -66 102.9952
  467        +      508218      508559          342        1       50  24.5197
  468        -      508875      511379         2505        1      -95 471.4160
  469        +      511641      512573          933        1     -121 124.8452
  470        +      512576      513868         1293        1       51 194.3543
  471        +      513993      514400          408        1      -74  64.3033
  472        -      514401      514859          459        1       58  43.8100
  473        -      514856      515773          918        1      -53 173.6183
  474        +      515919      516596          678        1       65  68.7035
  475        +      516583      517362          780        1      -44 107.5314
  476        -      517425      518279          855        1     -109 171.8512
  477        -      518340      519110          771        1      -50 105.2136
  478        -      519139      519762          624        1       90  76.5171
  479        +      519733      520419          687        1       44  98.7720
  480        +      520416      522830         2415        1      -43 440.0583
  481        +      523261      527541         4281        1      -18 377.7719
  482        +      527581      527949          369        1      -48  19.1027
  483        +      527949      528659          711        1       71  18.6714
  484        +      528939      529130          192        1       31   3.8591
  485        -      529645      530016          372        1      110  31.8530
  486        -      530132      531226         1095        1       45 178.7351
  487        -      531295      532221          927        1       15 111.3721
  488        +      532451      532933          483        1      -35  79.0983
  489        +      533056      533826          771        1       52  90.2552
  490        +      533916      535697         1782        1     -116 300.1296
  491        +      535710      536486          777        1     -114  83.9441
  492        +      536586      537464          879        1       -2 132.8220
  493        +      537633      539087         1455        1       22 174.8787
  494        +      539147      540508         1362        1       -2 231.6112
  495        +      540565      541866         1302        1     -120 148.5160
  496        +      541888      543033         1146        1      -77 191.4708
  497        -      543261      544046          786        1       60 103.4101
  498        -      544057      545292         1236        1       28 170.6641
  499        -      545314      546363         1050        1       72 107.4720
  500        +      546680      548347         1668        1      107 282.0051
  501        +      548357      549616         1260        1       -8 209.5919
  502        +      549627      550442          816        1      -19  87.3808
  503        +      550439      551332          894        1       28 152.0693
  504        -      551527      552594         1068        1     -100 191.6213
  505        -      552591      553100          510        1     -107  90.2742
  506        -      553218      553904          687        1      -63  93.5008
  507        -      553943      554437          495        1      -38  68.6653
  508        +      554611      555996         1386        1      100 230.6873
  509        -      556032      556553          522        1       21  47.2410
  510        -      556661      556873          213        1       85  31.8799
  511        -      556875      557741          867        1      -63 130.9775
  512        +      558212      558754          543        1      119  34.2084
  513        +      558977      559666          690        1      120  33.1780
  514        +      559697      562300         2604        1       70 225.3233
  515        +      562342      563319          978        1     -102  65.5024
  516        +      563330      563845          516        1      116  14.0971
  517        -      563848      564495          648        1       31  13.9343
  518        -      564815      565978         1164        1      -25  55.1070
  519        -      566098      566316          219        1       57  14.3375
  520        +      566842      567141          300        1       44  29.3619
  521        +      567138      568004          867        1       86  44.8991
  522        +      568315      568647          333        1      -18  11.6650
  523        +      568902      570428         1527        1       59  74.5863
  524        +      570893      571444          552        1        0  28.7521
  525        +      571499      572251          753        1       87  17.6537
  526        +      572466      572921          456        1       40  40.6058
  527        +      573084      573374          291        1     -112  20.2708
  528        +      573371      573733          363        1      -90  39.3746
  529        +      573956      574339          384        1       -4  15.0595
  530        -      574737      575717          981        1       -9  95.6238
  531        -      575758      576825         1068        1       70  92.1255
  532        +      577398      577613          216        1      107   3.9695
  533        +      577613      578110          498        1       65  17.2028
  534        +      578107      578568          462        1       47  25.1860
  535        -      578600      578893          294        1       99  22.7251
  536        -      579184      579636          453        1       61   3.0151
  537        +      579880      580086          207        1       20   0.8785
  538        +      580834      581379          546        1      -40  61.6353
  539        +      581354      582097          744        1      -41  51.2306
  540        -      582152      582577          426        1      -70   8.2897
  541        +      582875      583060          186        1      -48   8.3962
  542        +      583873      584430          558        1      -71  19.7780
  543        -      584680      585633          954        1      -80  44.5675
  544        -      586147      586908          762        1      -86  54.8197
  545        -      587091      587921          831        1     -105 116.5859
  546        -      587982      590954         2973        1      119 407.4526
  547        -      590941      593178         2238        1       39 315.3332
  548        -      593328      594770         1443        1       94 170.4515
  549        -      594760      595443          684        1       -3 104.5248
  550        +      595600      596973         1374        1     -126 189.0561
  551        +      597131      597463          333        1     -127  48.6741
  552        +      597479      598702         1224        1      -33 203.4295
  553        +      598714      601857         3144        1      -85 542.0258
  554        +      601959      603335         1377        1       96 231.2580
  555        -      603416      604663         1248        1        4 185.7985
  556        -      604771      605424          654        1       -5 108.8358
  557        -      605518      605886          369        1      -53  21.1536
  558        -      605951      606199          249        1        2  26.1024
  559        -      606265      607383         1119        1      -92 141.7454
  560        +      608065      609177         1113        1       54  68.2084
  561        -      609459      610157          699        1     -125  37.8368
  562        -      610254      612494         2241        1      -95 355.3697
  563        +      612737      613939         1203        1      111 112.0587
  564        +      613942      614160          219        1       42  14.4877
  565        +      614157      618038         3882        1        2 660.9112
  566        +      618254      619387         1134        1        1 121.1558
  567        -      619384      620199          816        1      -83 135.6361
  568        -      620196      621188          993        1     -107 176.8326
